Number;Name;Height;East;Degree;Minute;Second;North;Degree;Minute;Second
1;Nenang;6870;93° 39' 5'';93;39;5;30° 18' 12'';30;18;12
2;;6842;93° 54' 51'';93;54;51;30° 20' 38'';30;20;38
3;;6692;94° 28' 9'';94;28;9;30° 34' 44'';30;34;44
4;Qang Dhen;6691;93° 25' 16'';93;25;16;30° 12' 29'';30;12;29
5;;6688;93° 38' 15'';93;38;15;30° 18' 13'';30;18;13
6;Seamo Uylmitok;6650;94° 46' 32'';94;46;32;30° 54' 48'';30;54;48
7;;6648;94° 0' 59'';94;0;59;30° 21' 6'';30;21;6
8;;6630;94° 10' 48'';94;10;48;30° 12' 7'';30;12;7
9;;6626;94° 1' 32'';94;1;32;30° 22' 10'';30;22;10
10;;6621;93° 45' 2'';93;45;2;30° 54' 38'';30;54;38
11;Sendho;6620;93° 32' 26'';93;32;26;30° 18' 27'';30;18;27
12;Nawu Kangri;6619;93° 54' 53'';93;54;53;30° 18' 34'';30;18;34
13;;6614;94° 11' 9'';94;11;9;30° 18' 7'';30;18;7
14;;6605;94° 22' 59'';94;22;59;30° 18' 56'';30;18;56
15;Zho;6590;93° 58' 35'';93;58;35;30° 18' 29'';30;18;29
16;Jiongmudazhi;6586;93° 46' 56'';93;46;56;30° 18' 33'';30;18;33
17;Jainija;6570;94° 14' 13'';94;14;13;30° 18' 39'';30;18;39
18;;6556;94° 26' 31'';94;26;31;30° 18' 41'';30;18;41
19;Sepu;6552;93° 45' 43'';93;45;43;30° 18' 22'';30;18;22
20;;6550;93° 39' 18'';93;39;18;30° 18' 51'';30;18;51
21;Chuchepo;6550;93° 32' 49'';93;32;49;30° 18' 45'';30;18;45
22;;6542;94° 12' 26'';94;12;26;30° 18' 42'';30;18;42
23;Lumbogangzegabo;6537;94° 8' 44'';94;8;44;30° 18' 9'';30;18;9
24;;6537;93° 39' 55'';93;39;55;30° 18' 59'';30;18;59
25;;6534;94° 28' 51'';94;28;51;30° 18' 41'';30;18;41
26;;6534;94° 9' 56'';94;9;56;30° 9' 6'';30;9;6
27;;6502;93° 37' 55'';93;37;55;30° 28' 49'';30;28;49
28;;6488;94° 45' 11'';94;45;11;30° 36' 31'';30;36;31
29;Kongga;6484;94° 12' 6'';94;12;6;30° 33' 48'';30;33;48
30;;6456;94° 0 ' 38'';94;0;38;30° 20' 43'';30;20;43
31;;6452;94° 24' 32'';94;24;32;30° 27' 14'';30;27;14
32;;6451;93° 56' 30'';93;56;30;30° 50' 31'';30;50;31
33;;6445;94° 47' 5'';94;47;5;30° 36' 12'';30;36;12
34;;6444;94° 14' 8'';94;14;8;30° 6' 27'';30;6;27
35;;6434;93° 36' 32'';93;36;32;30° 28' 29'';30;28;29
36;;6432;93° 35' 7'';93;35;7;30° 29' 57'';30;29;57
37;;6420;95° 7' 28'';95;7;28;30° 23' 31'';30;23;31
38;;6419;94° 56' 32'';94;56;32;29° 54' 1'';29;54;1
39;;6418;94° 0' 45'';94;0;45;30° 18' 50'';30;18;50
40;;6418;94° 1' 45'';94;1;45;30° 23' 6'';30;23;6
41;;6414;93° 37' 34'';93;37;34;30° 18' 12'';30;18;12
42;;6414;94° 23' 32'';94;23;32;30° 32' 1'';30;32;1
43;;6414;94° 2' 54'';94;2;54;30° 10' 34'';30;10;34
44;;6410;94° 11' 19'';94;11;19;30° 9' 35'';30;9;35
45;;6406;93° 41' 47'';93;41;47;30° 13' 59'';30;13;59
46;Hayungarpo;6388;94° 56' 8'';94;56;8;30° 20' 25'';30;20;25
47;;6382;94° 31' 54'';94;31;54;30° 33' 32'';30;33;32
48;Kona I;6378;94° 34' 48'';94;34;48;30° 37' 25'';30;37;25
49;;6374;93° 39' 36'';93;39;36;30° 19' 33'';30;19;33
50;;6370;94° 0' 16'';94;0;16;30° 19' 51'';30;19;51
51;;6368;93° 42' 37'';93;42;37;30° 14' 16'';30;14;16
52;;6368;93° 41' 57'';93;41;57;30° 17' 33'';30;17;33
53;;6364;95° 4' 58'';95;4;58;30° 18' 20'';30;18;20
54;Peyger;6359;93° 29' 28'';93;29;28;30° 18' 54'';30;18;54
55;Pukalo;6358;94° 13' 35'';94;13;35;30° 10' 2'';30;10;2
56;;6356;94° 38' 7'';94;38;7;30° 30' 39'';30;30;39
57;;6353;93° 59' 17'';93;59;17;30° 52' 46'';30;52;46
58;;6349;95° 4' 4'';95;4;4;30° 19' 28'';30;19;28
59;;6346;94° 22' 20'';94;22;20;30° 38' 58'';30;38;58
60;;6340;94° 22' 12'';94;22;12;30° 35' 40'';30;35;40
61;Kona II;6334;94° 36' 37'';94;36;37;30° 36' 17'';30;36;17
62;;6334;94° 13' 18'';94;13;18;30° 32' 13'';30;32;13
63;;6332;93° 55' 36'';93;55;36;30° 23' 5'';30;23;5
64;Kona III;6328;94° 34' 42'';94;34;42;30° 39' 41'';30;39;41
65;;6327;94° 21' 16'';94;21;16;30° 36' 9'';30;36;9
66;;6322;94° 59' 53'';94;59;53;30° 17' 51'';30;17;51
67;Pulongu;6310;94° 36' 23'';94;36;23;30° 10' 58'';30;10;58
68;;6310;93° 35' 20'';93;35;20;30° 29' 22'';30;29;22
69;;6307;93° 41' 44'';93;41;44;30° 17' 7'';30;17;7
70;;6304;93° 55' 1'';93;55;1;30° 8' 48'';30;8;48
71;;6304;93° 54' 52'';93;54;52;30° 21' 4'';30;21;4
72;;6304;93° 55' 20'';93;55;20;30° 22' 31'';30;22;31
73;;6304;94° 7' 36'';94;7;36;30° 13' 39'';30;13;39
74;;6302;94° 18' 16'';94;18;16;30° 35' 8'';30;35;8
75;;6296;93° 49' 13'';93;49;13;30° 54' 30'';30;54;30
76;;6292;95° 10' 58'';95;10;58;30° 20' 43'';30;20;43
77;;6284;94° 36' 19'';94;36;19;30° 33' 33'';30;33;33
78;;6281;94° 22' 25'';94;22;25;30° 34' 5'';30;34;5
